Bicycle ID,Rental Date,Return Date,Member ID
177,2023-10-06,2023-10-17,1005
192,2022-01-04,2022-01-14,1005
200,2022-07-22,2022-08-03,1002
156,2024-04-26,2024-04-30,1006
50,2022-01-06,2022-01-13,1003
47,2023-03-24,2023-03-31,1003
185,2022-06-17,2022-06-26,1044
172,2024-03-24,2024-03-28,1001
126,2023-08-07,2023-08-12,1044
101,2021-08-30,2021-09-04,1006
135,2024-09-15,2024-09-22,1006
195,2024-10-13,2024-10-23,1002
92,2021-07-16,2021-07-28,1006
60,2021-04-18,2021-04-21,1003
176,2022-02-23,2022-03-08,1030
49,2021-12-22,2022-01-02,1002
92,2024-08-17,2024-08-21,1003
181,2024-03-03,2024-03-15,1044
166,2024-07-03,2024-07-13,1006
174,2022-03-23,2022-03-28,1003
151,2023-08-17,2023-08-23,1040
68,2022-01-24,2022-02-06,1040
133,2024-04-03,2024-04-13,1040
6,2024-05-02,2024-05-11,1030
148,2024-07-05,2024-07-17,1040
158,2021-05-17,2021-05-24,1044
80,2024-10-28,2024-11-03,1003
58,2022-07-26,2022-08-09,1005
67,2022-10-27,2022-11-08,1006
25,2022-04-04,2022-04-10,1003
131,2023-03-28,2023-04-08,1030
62,2021-08-18,2021-08-27,1040
180,2021-04-08,2021-04-22,1003
155,2024-09-22,2024-09-29,1002
19,2024-09-17,2024-09-30,1030
149,2022-06-22,2022-06-30,1002
93,2021-08-26,2021-09-03,1030
168,2024-09-07,2024-09-19,1003
133,2023-01-28,2023-01-31,1003
181,2021-02-13,2021-02-25,1005
64,2021-12-04,2021-12-11,1002
168,2022-09-14,2022-09-17,1002
179,2023-04-17,2023-04-22,1006
40,2021-11-08,2021-11-22,1001
37,2023-05-04,2023-05-11,1001
75,2022-09-21,2022-09-24,1006
28,2022-06-08,2022-06-16,1005
155,2023-01-12,2023-01-25,1001
102,2023-12-25,2024-01-06,1044
54,2024-01-04,2024-01-13,1001
138,2022-08-29,2022-09-06,1005
196,2022-03-01,2022-03-10,1006
18,2023-06-06,2023-06-14,1002
197,2022-06-18,2022-06-26,1040
136,2022-07-10,2022-07-20,1040
162,2023-03-24,2023-03-30,1001
101,2022-05-19,2022-05-30,1030
18,2023-02-18,2023-03-03,1006
15,2022-01-16,2022-01-20,1001
153,2023-04-22,2023-05-03,1003
74,2022-07-07,2022-07-13,1005
199,2023-05-24,2023-06-07,1044
136,2021-05-07,2021-05-21,1044
160,2021-11-06,2021-11-18,1044
129,2024-10-14,2024-10-21,1030
99,2024-05-05,2024-05-19,1044
198,2021-02-15,2021-02-25,1003
158,2022-10-10,2022-10-13,1001
168,2022-01-01,2022-01-04,1040
96,2021-03-31,2021-04-03,1002
180,2021-07-13,2021-07-26,1040
104,2022-12-22,2022-12-31,1044
65,2024-08-29,2024-09-06,1005
18,2021-09-06,2021-09-10,1030
167,2023-05-22,2023-06-05,1001
103,2022-05-20,2022-06-03,1040
85,2024-03-04,2024-03-11,1003
160,2022-07-20,2022-07-23,1040
20,2024-07-02,2024-07-06,1001
27,2022-07-18,2022-08-01,1005
176,2024-01-07,2024-01-15,1006
25,2021-05-28,2021-06-10,1003
193,2023-12-12,2023-12-19,1005
13,2024-08-26,2024-09-01,1002
141,2021-01-30,2021-02-09,1002
56,2023-08-08,2023-08-15,1040
18,2022-05-07,2022-05-20,1002
170,2024-10-07,2024-10-21,1005
107,2023-05-28,2023-06-04,1003
144,2023-08-16,2023-08-23,1005
23,2021-09-16,2021-09-28,1005
131,2021-11-16,2021-11-24,1040
41,2022-05-21,2022-05-31,1001
44,2022-06-08,2022-06-17,1003
161,2024-10-01,2024-10-07,1001
196,2022-12-01,2022-12-12,1044
43,2021-02-01,2021-02-13,1030
184,2024-06-04,2024-06-08,1005
91,2022-05-20,2022-05-27,1030
88,2021-05-26,2021-06-09,1040
25,2024-04-11,2024-04-21,1002
138,2021-03-02,2021-03-13,1001
105,2021-07-29,2021-08-12,1005
155,2024-05-19,2024-05-31,1040
25,2021-09-13,2021-09-26,1006
88,2023-01-13,2023-01-27,1006
23,2023-05-30,2023-06-06,1040
82,2022-08-17,2022-08-24,1040
100,2024-08-31,2024-09-10,1005
121,2024-10-21,2024-10-27,1040
1,2021-05-21,2021-06-02,1005
18,2024-07-21,2024-07-26,1002
25,2021-08-08,2021-08-16,1005
120,2023-01-08,2023-01-12,1005
122,2022-06-16,2022-06-24,1006
89,2024-08-18,2024-08-23,1005
144,2023-02-21,2023-03-02,1002
14,2022-07-07,2022-07-11,1002
110,2022-03-21,2022-04-02,1002
91,2022-06-21,2022-07-02,1040
50,2024-10-12,2024-10-22,1040
28,2024-01-12,2024-01-18,1030
80,2021-11-17,2021-11-24,1005
183,2023-08-10,2023-08-13,1002
199,2024-03-03,2024-03-15,1040
33,2021-04-02,2021-04-12,1006
104,2021-04-13,2021-04-21,1044
20,2021-05-30,2021-06-02,1001
151,2023-08-23,2023-09-05,1044
17,2022-08-27,2022-09-01,1006
83,2023-02-15,2023-02-24,1002
83,2022-01-08,2022-01-15,1005
173,2023-03-15,2023-03-24,1030
29,2024-07-05,2024-07-18,1003
