Bicycle ID,Rental Date,Return Date,Member ID
125,2023-05-23,2023-06-01,1030
82,2024-10-24,2026-130-01,1030
88,2023-02-02,2023-02-10,1006
37,2023-02-21,2023-03-06,1002
6,2024-03-17,2024-04-03,1003
42,2022-12-11,2022-12-22,1003
42,2022-01-09,2022-01-14,1006
143,2023-09-24,2023-10-11,1040
26,2023-12-04,2023-12-17,1003
41,2023-08-09,2023-08-13,1030
44,2022-07-27,2022-08-01,1030
116,2022-08-10,2022-08-21,1044
78,2023-07-03,2026-130-01,1006
154,2023-08-15,2026-130-01,1001
40,2022-09-16,2022-09-21,1044
85,2021-07-06,2021-07-12,1040
11,2024-08-15,2024-08-27,1003
15,2022-11-18,2022-11-21,1006
186,2021-07-02,2021-07-12,1003
34,2023-07-06,2023-07-14,1030
198,2021-09-07,2021-09-14,1040
134,2022-10-02,2022-10-22,1040
16,2023-12-07,2023-12-27,1005
146,2023-12-26,2024-01-06,1003
43,2023-02-28,2023-03-19,1001
59,2022-09-18,2022-10-09,1005
17,2021-05-07,missing,1040
17,2021-05-07,2021-05-12,1040
120,2024-03-31,2024-04-08,1044
36,2024-04-01,2026-130-01,1030
93,2023-11-06,2023-11-14,1002
92,2024-08-13,2024-08-26,1002
169,2023-09-21,2023-09-24,1002
11,2021-02-11,2021-02-22,1030
173,2021-07-27,missing,1044
173,2021-07-27,2021-08-06,1044
72,2023-07-26,2023-08-05,1030
69,2023-07-14,2023-07-25,1040
80,2024-01-21,2024-02-09,1001
34,2022-12-08,2022-12-17,1040
114,2021-06-02,2021-06-23,1001
195,2023-11-21,2023-11-25,1001
11,2024-11-04,2024-11-21,1044
176,2024-07-15,2024-07-21,1044
41,2021-12-07,2021-12-20,1006
191,2022-11-29,2022-12-14,1044
78,2021-12-31,2022-01-21,1003
183,2023-05-22,2023-05-25,1002
78,2021-03-23,2021-03-28,1006
122,2024-02-27,2024-03-15,1001
34,2023-10-06,2023-10-01,1006
18,2022-03-28,2022-04-12,1002
172,2022-07-28,2022-08-09,1006
77,2024-03-09,2024-03-27,1005
28,2021-07-07,2021-07-21,1005
122,2022-09-12,2022-09-07,1003
172,2022-10-12,2022-10-17,1040
29,2023-04-11,2026-130-01,1002
